Epoch,Average_Loss,Learning_Rate
1,0.8036935828466785,0.0001
2,0.6976145832615103,9.98458666866564e-05
3,0.6625178695760946,9.938441702975689e-05
4,0.6419945755266251,9.861849601988383e-05
5,0.6253600070541874,9.755282581475767e-05
6,0.6155579404875556,9.619397662556432e-05
7,0.6022242467432098,9.455032620941837e-05
8,0.5946350765419516,9.26320082177046e-05
9,0.5885548742816729,9.045084971874737e-05
10,0.5831312079799367,8.802029828000154e-05
11,0.5769235740570142,8.535533905932737e-05
12,0.5754493405833283,8.247240241650918e-05
13,0.5705915756404081,7.938926261462365e-05
14,0.5670562743303929,7.612492823579742e-05
15,0.567007416411039,7.269952498697731e-05
16,0.5626732914105934,6.913417161825447e-05
17,0.5616472064651907,6.545084971874736e-05
18,0.5594735482239468,6.167226819279526e-05
19,0.5581201126868712,5.7821723252011525e-05
20,0.5564367600223598,5.392295478639223e-05
21,0.5541654850709885,4.999999999999998e-05
22,0.5551096598971337,4.607704521360774e-05
23,0.5516370148024458,4.217827674798845e-05
24,0.5483055274316015,3.832773180720472e-05
25,0.5485704265495035,3.4549150281252616e-05
26,0.5495897800447469,3.08658283817455e-05
27,0.5484983947147979,2.730047501302265e-05
28,0.5460883282762479,2.387507176420255e-05
29,0.546578818862451,2.061073738537634e-05
30,0.546094833629176,1.7527597583490816e-05
31,0.5449227198440442,1.464466094067262e-05
32,0.5446757331370988,1.1979701719998447e-05
33,0.5447017679160292,9.549150281252628e-06
34,0.5456008693392582,7.367991782295387e-06
35,0.5454756300597586,5.449673790581608e-06
36,0.5451946864751253,3.806023374435661e-06
37,0.544309432752789,2.447174185242322e-06
38,0.5445670034078991,1.3815039801161715e-06
39,0.5426359346365546,6.155829702431167e-07
40,0.5435140999283063,1.5413331334360174e-07
